Time(in seconds),Queue Density,Dynamic Density,
1,0.0745972,0,
2,0.0741857,0,
3,0.0760118,0,
4,0.0784767,0,
5,0.0803616,0,
6,0.082803,0,
7,0.0828618,0,
8,0.0833163,0,
9,0.0825404,0,
10,0.0825326,0,
11,0.0830107,0,
12,0.083093,0,
13,0.0852522,0,
14,0.0859223,0,
15,0.0868119,0,
16,0.0881873,0,
17,0.0883519,0,
18,0.0890612,0,
19,0.0887634,0,
20,0.0892141,0,
21,0.090229,0,
22,0.0911146,0,
23,0.0910637,0,
24,0.0921335,0,
25,0.0942496,0,
26,0.0954488,0,
27,0.0967733,0,
28,0.0988111,0,
29,0.0992108,0,
30,0.100085,0,
31,0.100359,0,
32,0.100308,0,
33,0.100343,0,
34,0.100739,0,
35,0.101245,0,
36,0.101558,0,
37,0.101962,0,
38,0.102256,0,
39,0.102228,0,
40,0.102875,0,
41,0.102436,0,
42,0.103372,0,
43,0.103678,0,
44,0.104427,0,
45,0.104235,0,
46,0.10463,0,
47,0.104481,0,
48,0.104023,0,
49,0.104031,0,
50,0.104027,0,
51,0.104144,0,
52,0.104227,0,
53,0.104368,0,
54,0.104991,0,
55,0.105614,0,
56,0.105967,0,
57,0.105665,0,
58,0.105344,0,
59,0.106037,0,
60,0.106304,0,
61,0.105771,0,
62,0.105269,0,
63,0.10554,0,
64,0.106006,0,
65,0.106884,0,
66,0.107699,0,
67,0.107765,0,
68,0.108714,0,
69,0.106837,0,
70,0.107569,0,
71,0.108604,0,
72,0.109478,0,
73,0.110414,0,
74,0.110712,0,
75,0.111935,0,
76,0.112182,0,
77,0.112672,0,
78,0.112962,0,
79,0.115873,0,
80,0.117288,0,
81,0.119757,0,
82,0.121994,0,
83,0.123719,0,
84,0.128523,0,
85,0.132751,0,
86,0.134793,0,
87,0.139268,0,
88,0.142803,0,
89,0.144272,0,
90,0.146004,0,
91,0.147889,0,
92,0.148215,0,
93,0.149159,0,
94,0.147533,0,
95,0.147772,0,
96,0.148493,0,
97,0.149402,0,
98,0.14986,0,
99,0.150092,0,
100,0.150879,0,
101,0.152184,0,
102,0.153336,0,
103,0.153458,0,
