Time(in seconds),Queue Density,Dynamic Density,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,0,
27,0,0,
28,0,0,
29,0,0,
30,0,0,
31,0,0,
32,0,0,
33,0,0,
34,0,0,
35,0,0,
36,0,0,
37,0,0,
38,0,0,
39,0,0,
40,0,0,
41,0,0,
42,0,0,
43,0,0,
44,0,0,
45,0,0,
46,0,0,
47,0,0,
48,0,0,
49,0,0,
50,0,0,
51,0.104031,0.0646749,
52,0.104031,0.0646749,
53,0.104031,0.0646749,
54,0.104031,0.0646749,
55,0.104031,0.0646749,
56,0.104031,0.0646749,
57,0.104031,0.0646749,
58,0.104031,0.0646749,
59,0.104031,0.0646749,
60,0.104031,0.0646749,
61,0.104031,0.0646749,
62,0.104031,0.0646749,
63,0.104031,0.0646749,
64,0.104031,0.0646749,
65,0.104031,0.0646749,
66,0.104031,0.0646749,
67,0.104031,0.0646749,
68,0.104031,0.0646749,
69,0.104031,0.0646749,
70,0.104031,0.0646749,
71,0.104031,0.0646749,
72,0.104031,0.0646749,
73,0.104031,0.0646749,
74,0.104031,0.0646749,
75,0.104031,0.0646749,
76,0.104031,0.0646749,
77,0.104031,0.0646749,
78,0.104031,0.0646749,
79,0.104031,0.0646749,
80,0.104031,0.0646749,
81,0.104031,0.0646749,
82,0.104031,0.0646749,
83,0.104031,0.0646749,
84,0.104031,0.0646749,
85,0.104031,0.0646749,
86,0.104031,0.0646749,
87,0.104031,0.0646749,
88,0.104031,0.0646749,
89,0.104031,0.0646749,
90,0.104031,0.0646749,
91,0.104031,0.0646749,
92,0.104031,0.0646749,
93,0.104031,0.0646749,
94,0.104031,0.0646749,
95,0.104031,0.0646749,
96,0.104031,0.0646749,
97,0.104031,0.0646749,
98,0.104031,0.0646749,
99,0.104031,0.0646749,
100,0.104031,0.0646749,
101,0.150092,0.100441,
102,0.150092,0.100441,
103,0.150092,0.100441,
104,0.150092,0.100441,
105,0.150092,0.100441,
106,0.150092,0.100441,
107,0.150092,0.100441,
108,0.150092,0.100441,
109,0.150092,0.100441,
110,0.150092,0.100441,
111,0.150092,0.100441,
112,0.150092,0.100441,
113,0.150092,0.100441,
114,0.150092,0.100441,
115,0.150092,0.100441,
116,0.150092,0.100441,
117,0.150092,0.100441,
118,0.150092,0.100441,
119,0.150092,0.100441,
120,0.150092,0.100441,
121,0.150092,0.100441,
122,0.150092,0.100441,
123,0.150092,0.100441,
124,0.150092,0.100441,
125,0.150092,0.100441,
126,0.150092,0.100441,
127,0.150092,0.100441,
128,0.150092,0.100441,
129,0.150092,0.100441,
130,0.150092,0.100441,
131,0.150092,0.100441,
132,0.150092,0.100441,
