Time(in seconds),Queue Density,Dynamic Density,
13.2,0.197555,0.0231245,
13.2667,0.197207,0.0207262,
13.3333,0.197367,0.0203735,
13.4,0.197454,0.0195937,
13.4667,0.197438,0.0210672,
13.5333,0.197908,0.018567,
13.6,0.198163,0.017023,
13.6667,0.198551,0.0207341,
13.7333,0.198257,0.0203735,
13.8,0.198049,0.0171798,
13.8667,0.197967,0.0164234,
13.9333,0.197834,0.0175873,
14,0.198132,0.0173875,
14.0667,0.198774,0.0155927,
14.1333,0.199045,0.0190608,
14.2,0.198778,0.0317967,
14.2667,0.198441,0.0278348,
14.3333,0.198433,0.0183946,
14.4,0.198135,0.0168075,
14.4667,0.197748,0.0185905,
14.5333,0.19799,0.0150088,
14.6,0.198073,0.0144837,
14.6667,0.199405,0.0183162,
14.7333,0.199429,0.0211259,
14.8,0.199542,0.0405746,
14.8667,0.199197,0.0266161,
14.9333,0.199237,0.0213924,
15,0.198876,0.0128456,
15.0667,0.198719,0.00971848,
15.1333,0.198927,0.0132101,
15.2,0.198676,0.0136255,
15.2667,0.198735,0.0126771,
15.3333,0.198935,0.0143622,
15.4,0.198806,0.0168702,
15.4667,0.198876,0.0173287,
15.5333,0.199221,0.0187629,
15.6,0.19966,0.0339324,
15.6667,0.199966,0.0333916,
15.7333,0.199773,0.0207576,
15.8,0.199499,0.0194134,
15.8667,0.199049,0.0188139,
15.9333,0.197548,0.0206831,
16,0.19656,0.0316987,
16.0667,0.196396,0.0243275,
16.1333,0.19734,0.0235046,
16.2,0.197054,0.0179165,
16.2667,0.197481,0.0128652,
16.3333,0.194389,0.0176578,
16.4,0.19502,0.0198798,
16.4667,0.195279,0.0787275,
16.5333,0.195385,0.0304016,
16.6,0.194832,0.0214238,
16.6667,0.194628,0.0131474,
16.7333,0.194362,0.0156083,
16.8,0.194232,0.0117797,
16.8667,0.193935,0.0128417,
16.9333,0.193801,0.00838611,
17,0.193707,0.00791978,
17.0667,0.194193,0.0100202,
17.1333,0.194252,0.0327058,
17.2,0.194252,0.0293318,
17.2667,0.194428,0.0133041,
17.3333,0.194601,0.0102906,
17.4,0.194777,0.0113526,
17.4667,0.194722,0.0119522,
17.5333,0.19484,0.0133316,
17.6,0.195087,0.0217177,
17.6667,0.195138,0.021028,
17.7333,0.194863,0.0222741,
17.8,0.194828,0.0200483,
17.8667,0.194859,0.0121442,
17.9333,0.19471,0.00971456,
18,0.193476,0.0133551,
18.0667,0.193629,0.0149304,
18.1333,0.19337,0.0544039,
18.2,0.193159,0.0194644,
18.2667,0.19321,0.01167,
18.3333,0.193888,0.0137587,
18.4,0.193825,0.0113604,
18.4667,0.194624,0.0108079,
18.5333,0.195306,0.0115093,
18.6,0.19513,0.0105336,
18.6667,0.196043,0.0100829,
18.7333,0.197595,0.0127712,
18.8,0.198484,0.0286617,
18.8667,0.199989,0.0199464,
18.9333,0.200961,0.0199268,
19,0.201227,0.023391,
19.0667,0.202199,0.0242766,
19.1333,0.20294,0.0237946,
19.2,0.202266,0.0269531,
19.2667,0.200828,0.0322943,
19.3333,0.199154,0.0314283,
19.4,0.198492,0.027247,
19.4667,0.197168,0.0277329,
19.5333,0.195792,0.0263849,
19.6,0.195259,0.0199621,
19.6667,0.19386,0.0228894,
19.7333,0.192884,0.025221,
19.8,0.192528,0.075714,
19.8667,0.191779,0.0310756,
19.9333,0.191329,0.0249428,
20,0.191427,0.0180301,
20.0667,0.191681,0.0166115,
20.1333,0.191924,0.0139429,
20.2,0.191383,0.0146483,
20.2667,0.191705,0.015287,
20.3333,0.192195,0.0168271,
20.4,0.192449,0.0148324,
20.4667,0.192704,0.0100751,
20.5333,0.193731,0.00872704,
20.6,0.193562,0.0147462,
20.6667,0.193351,0.0178499,
20.7333,0.195165,0.0189745,
20.8,0.195337,0.020785,
20.8667,0.195145,0.0244138,
20.9333,0.195972,0.0235438,
21,0.19638,0.0221957,
21.0667,0.197281,0.023101,
21.1333,0.197313,0.0198171,
21.2,0.196842,0.0217412,
21.2667,0.19636,0.0206243,
21.3333,0.196121,0.0410527,
21.4,0.196423,0.0260283,
21.4667,0.196991,0.039497,
21.5333,0.197281,0.0240415,
21.6,0.197563,0.0220939,
21.6667,0.197661,0.0209457,
21.7333,0.197798,0.0190098,
21.8,0.197732,0.0212553,
21.8667,0.197748,0.0207928,
21.9333,0.197947,0.0196838,
22,0.197904,0.0135902,
22.0667,0.197932,0.0128535,
22.1333,0.197724,0.0131552,
22.2,0.197771,0.0126497,
22.2667,0.197795,0.0111488,
22.3333,0.197458,0.00918553,
22.4,0.197516,0.00799031,
22.4667,0.197595,0.00803342,
22.5333,0.197575,0.00747696,
22.6,0.197904,0.0113369,
22.6667,0.198664,0.0133276,
22.7333,0.198919,0.0125282,
22.8,0.199425,0.012105,
22.8667,0.200216,0.0127281,
22.9333,0.201298,0.0145111,
23,0.199691,0.0249114,
23.0667,0.200569,0.0280778,
23.1333,0.20243,0.0469387,
23.2,0.203046,0.0291202,
23.2667,0.202701,0.0292769,
23.3333,0.202352,0.0277682,
23.4,0.201647,0.0282345,
23.4667,0.2008,0.0303389,
23.5333,0.200698,0.0291868,
23.6,0.200643,0.0254718,
23.6667,0.200757,0.0277173,
23.7333,0.201149,0.0333289,
23.8,0.201149,0.0293749,
23.8667,0.201208,0.0309463,
23.9333,0.201231,0.0266788,
24,0.201325,0.0267062,
24.0667,0.201772,0.0252524,
24.1333,0.201635,0.0240807,
24.2,0.201952,0.0241081,
24.2667,0.201901,0.0238103,
24.3333,0.201698,0.0245352,
24.4,0.201647,0.0225092,
24.4667,0.201494,0.0242609,
24.5333,0.201474,0.0248291,
24.6,0.201662,0.0219802,
24.6667,0.202066,0.0255933,
24.7333,0.202019,0.027972,
24.8,0.201878,0.0764076,
24.8667,0.202117,0.0332348,
24.9333,0.201768,0.027972,
25,0.201361,0.0281091,
25.0667,0.201478,0.0274508,
25.1333,0.201353,0.0227679,
25.2,0.201627,0.0221605,
25.2667,0.201129,0.0251426,
25.3333,0.200851,0.0242453,
25.4,0.201165,0.0209496,
25.4667,0.201012,0.0225092,
25.5333,0.201611,0.0223995,
25.6,0.20256,0.0217882,
25.6667,0.204609,0.0236222,
25.7333,0.206098,0.0265651,
25.8,0.206557,0.0289948,
25.8667,0.20745,0.0326588,
25.9333,0.209175,0.03289,
26,0.210464,0.0388661,
26.0667,0.212294,0.0446305,
26.1333,0.213799,0.0460178,
26.2,0.214684,0.0523387,
26.2667,0.216032,0.05594,
26.3333,0.218121,0.0606817,
26.4,0.218501,0.0607248,
26.4667,0.219324,0.114792,
26.5333,0.219881,0.0665089,
26.6,0.220276,0.0638128,
26.6667,0.220539,0.0684016,
26.7333,0.22144,0.0679392,
26.8,0.221738,0.0649335,
26.8667,0.222208,0.0658544,
26.9333,0.223243,0.0643692,
27,0.223686,0.0678373,
27.0667,0.225049,0.070361,
27.1333,0.228298,0.0717365,
27.2,0.229916,0.0723047,
27.2667,0.234106,0.0777635,
27.3333,0.237542,0.0793271,
27.4,0.239611,0.0859968,
27.4667,0.243044,0.0909383,
27.5333,0.247735,0.095006,
27.6,0.250627,0.0981645,
27.6667,0.256105,0.10679,
27.7333,0.261419,0.110254,
27.8,0.26388,0.112339,
27.8667,0.26917,0.121614,
27.9333,0.273066,0.121062,
28,0.269366,0.172358,
28.0667,0.273293,0.165888,
28.1333,0.27816,0.183781,
28.2,0.280974,0.152278,
28.2667,0.287694,0.157365,
28.3333,0.29438,0.159555,
28.4,0.29657,0.16599,
28.4667,0.302151,0.169591,
28.5333,0.306575,0.170787,
28.6,0.307907,0.177856,
28.6667,0.312328,0.184479,
28.7333,0.317097,0.188284,
28.8,0.318954,0.19368,
28.8667,0.323649,0.199589,
28.9333,0.326607,0.205926,
29,0.329413,0.203865,
29.0667,0.334284,0.210056,
29.1333,0.338015,0.209531,
29.2,0.339057,0.219116,
29.2667,0.34184,0.219234,
29.3333,0.344187,0.223396,
29.4,0.344767,0.224187,
29.4667,0.348141,0.228122,
29.5333,0.349591,0.226221,
29.6,0.350622,0.226621,
29.6667,0.3501,0.237252,
29.7333,0.353976,0.250886,
29.8,0.355939,0.266271,
29.8667,0.359682,0.244725,
29.9333,0.362342,0.241148,
30,0.362292,0.240897,
30.0667,0.363875,0.24279,
30.1333,0.366089,0.240477,
30.2,0.366406,0.239455,
30.2667,0.369443,0.243036,
30.3333,0.371724,0.243757,
30.4,0.372535,0.237397,
30.4667,0.374028,0.238498,
30.5333,0.375701,0.237785,
30.6,0.375796,0.240787,
30.6667,0.376387,0.243714,
30.7333,0.377175,0.240724,
30.8,0.376881,0.240607,
30.8667,0.377512,0.240238,
30.9333,0.377516,0.244933,
31,0.377908,0.233925,
31.0667,0.377524,0.237025,
31.1333,0.37743,0.226542,
31.2,0.37703,0.231304,
31.2667,0.377198,0.229207,
31.3333,0.382857,0.253609,
31.4,0.383041,0.225147,
31.4667,0.382199,0.228572,
31.5333,0.381529,0.213254,
31.6,0.381764,0.221805,
31.6667,0.381294,0.220041,
31.7333,0.380063,0.215249,
31.8,0.379318,0.202767,
31.8667,0.379283,0.202446,
31.9333,0.378676,0.200381,
32,0.378543,0.186638,
32.0667,0.378394,0.186936,
32.1333,0.378108,0.182993,
32.2,0.377167,0.187551,
32.2667,0.378076,0.187441,
32.3333,0.377347,0.184357,
32.4,0.377257,0.178836,
32.4667,0.37712,0.175117,
32.5333,0.37652,0.170939,
32.6,0.375874,0.165273,
32.6667,0.375027,0.162103,
32.7333,0.375329,0.168619,
32.8,0.374616,0.165959,
32.8667,0.374165,0.172095,
32.9333,0.373491,0.163141,
33,0.372088,0.197442,
33.0667,0.371599,0.185211,
33.1333,0.37248,0.227855,
33.2,0.371873,0.138449,
33.2667,0.371622,0.134205,
33.3333,0.373597,0.115254,
33.4,0.37558,0.154155,
33.4667,0.380772,0.131098,
33.5333,0.386517,0.0900879,
33.6,0.388665,0.0556265,
33.6667,0.393775,0.0619318,
33.7333,0.397803,0.0683115,
33.8,0.400523,0.0689267,
33.8667,0.406397,0.0686524,
33.9333,0.412471,0.0555952,
34,0.416311,0.0585656,
34.0667,0.422797,0.0608972,
34.1333,0.426394,0.0633778,
34.2,0.428232,0.0691227,
34.2667,0.431348,0.0782612,
34.3333,0.433957,0.0813256,
34.4,0.435396,0.0856206,
34.4667,0.439722,0.0892376,
34.5333,0.442927,0.0898646,
34.6,0.444667,0.0822191,
34.6667,0.457286,0.100269,
34.7333,0.460111,0.0976589,
34.8,0.461612,0.1217,
34.8667,0.462733,0.0908913,
34.9333,0.465041,0.0943045,
35,0.467255,0.0966714,
35.0667,0.469085,0.100755,
35.1333,0.470057,0.10639,
35.2,0.470798,0.102279,
35.2667,0.472345,0.108592,
35.3333,0.473341,0.106531,
35.4,0.474156,0.105434,
35.4667,0.475896,0.112052,
35.5333,0.475578,0.116351,
35.6,0.477252,0.112201,
35.6667,0.478376,0.122598,
35.7333,0.479046,0.121685,
35.8,0.478584,0.115258,
35.8667,0.478898,0.118887,
35.9333,0.479544,0.13426,
36,0.479583,0.127806,
36.0667,0.479195,0.130333,
36.1333,0.481288,0.130953,
36.2,0.482346,0.124024,
36.2667,0.481257,0.126799,
36.3333,0.481409,0.154293,
36.4,0.480735,0.13513,
36.4667,0.479615,0.148861,
36.5333,0.478608,0.128503,
36.6,0.477757,0.13906,
36.6667,0.476323,0.138861,
36.7333,0.47463,0.122496,
36.8,0.474211,0.108745,
36.8667,0.474058,0.105841,
36.9333,0.472306,0.103431,
37,0.471381,0.104517,
37.0667,0.471519,0.105782,
37.1333,0.470774,0.106598,
37.2,0.470261,0.102675,
37.2667,0.469457,0.1038,
37.3333,0.469336,0.116057,
37.4,0.468458,0.124831,
37.4667,0.467725,0.153203,
37.5333,0.467337,0.171751,
37.6,0.466072,0.211933,
37.6667,0.464876,0.217028,
37.7333,0.463779,0.218689,
