Time(in seconds),Queue Density,Dynamic Density,
11.4667,0.169544,0.0836024,
11.5333,0.168859,0.0679823,
11.6,0.168435,0.0699143,
11.6667,0.168322,0.0662463,
11.7333,0.167926,0.0647964,
11.8,0.167479,0.0672378,
11.8667,0.167013,0.0637893,
11.9333,0.16706,0.0628174,
12,0.167021,0.0618652,
12.0667,0.167373,0.0624491,
12.1333,0.166805,0.0597373,
12.2,0.166883,0.0543843,
12.2667,0.167017,0.0542902,
12.3333,0.167115,0.05411,
12.4,0.166633,0.0518371,
12.4667,0.165919,0.0531342,
12.5333,0.165351,0.050975,
12.6,0.16568,0.0465155,
12.6667,0.165927,0.0453516,
12.7333,0.166162,0.0432864,
12.8,0.165888,0.034238,
12.8667,0.165555,0.0353196,
12.9333,0.165582,0.030045,
13,0.166127,0.0496661,
13.0667,0.166123,0.0463391,
13.1333,0.166539,0.0596863,
13.2,0.166668,0.0302684,
13.2667,0.166437,0.0230108,
13.3333,0.166233,0.0219097,
13.4,0.166307,0.0212553,
13.4667,0.166452,0.022956,
13.5333,0.166946,0.019723,
13.6,0.167162,0.0167213,
13.6667,0.167463,0.0202403,
13.7333,0.167166,0.0193076,
13.8,0.167056,0.0153144,
13.8667,0.167052,0.0149226,
13.9333,0.166883,0.0170152,
14,0.167213,0.0163216,
14.0667,0.167812,0.0134178,
14.1333,0.168028,0.0181555,
14.2,0.167808,0.0340735,
14.2667,0.167362,0.0303271,
14.3333,0.16735,0.0191235,
14.4,0.167123,0.0160864,
14.4667,0.166531,0.0184847,
14.5333,0.166672,0.0155456,
14.6,0.166762,0.0139664,
14.6667,0.168259,0.0188883,
14.7333,0.168282,0.0253856,
14.8,0.16849,0.0461784,
14.8667,0.168282,0.0297472,
14.9333,0.168204,0.0228737,
15,0.167949,0.0151028,
15.0667,0.167891,0.0119522,
15.1333,0.168004,0.0148442,
15.2,0.167914,0.0192018,
15.2667,0.167996,0.0179792,
15.3333,0.168235,0.0181359,
15.4,0.168157,0.018857,
15.4667,0.16804,0.0166115,
15.5333,0.168447,0.0198406,
15.6,0.168784,0.0350414,
15.6667,0.169176,0.0349552,
15.7333,0.169043,0.0217843,
15.8,0.168714,0.0200365,
15.8667,0.168267,0.0200326,
15.9333,0.166774,0.0229677,
16,0.166002,0.0326627,
16.0667,0.165955,0.0256286,
16.1333,0.166484,0.0240219,
16.2,0.166323,0.0192175,
16.2667,0.166848,0.0131748,
16.3333,0.164086,0.0208947,
16.4,0.164407,0.0252132,
16.4667,0.164955,0.0961698,
16.5333,0.165144,0.037326,
16.6,0.164477,0.0271138,
16.6667,0.164376,0.02035,
16.7333,0.164246,0.0268238,
16.8,0.164133,0.0233675,
16.8667,0.163909,0.0213101,
16.9333,0.163792,0.0140369,
17,0.163713,0.0127751,
17.0667,0.164125,0.0174893,
17.1333,0.164258,0.0365383,
17.2,0.164109,0.0345202,
17.2667,0.164238,0.0205851,
17.3333,0.16418,0.0156279,
17.4,0.16447,0.0146561,
17.4667,0.164231,0.0137234,
17.5333,0.16445,0.0156593,
17.6,0.164595,0.0270432,
17.6667,0.164665,0.0250525,
17.7333,0.164372,0.0261145,
17.8,0.164387,0.024645,
17.8667,0.164305,0.013935,
17.9333,0.164266,0.0122853,
18,0.163455,0.0183358,
18.0667,0.163494,0.0236888,
18.1333,0.163282,0.0722655,
18.2,0.163027,0.0272235,
18.2667,0.163153,0.0147972,
18.3333,0.163709,0.0138371,
18.4,0.163588,0.0115877,
18.4667,0.163756,0.0118464,
18.5333,0.163933,0.0123558,
18.6,0.163776,0.0100085,
18.6667,0.164434,0.0109921,
18.7333,0.165473,0.0151969,
18.8,0.166155,0.0323845,
18.8667,0.166974,0.0227718,
18.9333,0.167671,0.0234458,
19,0.168047,0.0256246,
19.0667,0.168749,0.0224975,
19.1333,0.169317,0.0205577,
19.2,0.168655,0.0229677,
19.2667,0.167706,0.0299549,
19.3333,0.166527,0.0320788,
19.4,0.165994,0.0262399,
19.4667,0.1651,0.0262948,
19.5333,0.163999,0.0244921,
19.6,0.163619,0.0180967,
19.6667,0.162879,0.0237828,
19.7333,0.162134,0.0296766,
19.8,0.162067,0.0823014,
19.8667,0.161566,0.0351629,
19.9333,0.161468,0.0298686,
20,0.161558,0.0260126,
20.0667,0.161766,0.0256834,
20.1333,0.161805,0.0216941,
20.2,0.161284,0.0184651,
20.2667,0.161534,0.01881,
20.3333,0.16184,0.0192489,
20.4,0.162087,0.0206439,
20.4667,0.16231,0.0188296,
20.5333,0.163133,0.0137469,
20.6,0.162977,0.0176108,
20.6667,0.162726,0.0193507,
20.7333,0.164297,0.020397,
20.8,0.164662,0.0214042,
20.8667,0.164564,0.0251074,
20.9333,0.16521,0.0257696,
21,0.165524,0.0247586,
21.0667,0.166198,0.0255071,
21.1333,0.166143,0.0231245,
21.2,0.16601,0.0239592,
21.2667,0.165363,0.0231519,
21.3333,0.165328,0.0458179,
21.4,0.1655,0.0307151,
21.4667,0.166017,0.049431,
21.5333,0.166123,0.0313421,
21.6,0.166088,0.0318476,
21.6667,0.166452,0.0232068,
21.7333,0.166731,0.0196446,
21.8,0.166684,0.024257,
21.8667,0.166652,0.0254914,
21.9333,0.166648,0.0231833,
22,0.166594,0.0141231,
22.0667,0.166778,0.0126693,
22.1333,0.166648,0.0133237,
22.2,0.166656,0.0141819,
22.2667,0.166735,0.0111567,
22.3333,0.166425,0.00936579,
22.4,0.166413,0.00894257,
22.4667,0.166535,0.0090758,
22.5333,0.166499,0.0106629,
22.6,0.166864,0.0135784,
22.6667,0.167514,0.0156319,
22.7333,0.167855,0.012489,
22.8,0.168604,0.0124655,
22.8667,0.169321,0.0127437,
22.9333,0.170058,0.0142015,
23,0.168678,0.0251897,
23.0667,0.16929,0.0306054,
23.1333,0.170818,0.0533419,
23.2,0.171171,0.0318123,
23.2667,0.170892,0.0309306,
23.3333,0.170587,0.0286695,
23.4,0.170116,0.028885,
23.4667,0.169521,0.0273019,
23.5333,0.169203,0.0263222,
23.6,0.169192,0.0245274,
23.6667,0.16925,0.0324001,
23.7333,0.169486,0.0356841,
23.8,0.169619,0.0326549,
23.8667,0.16974,0.0313225,
23.9333,0.169595,0.0245666,
24,0.169587,0.0243079,
24.0667,0.169799,0.023775,
24.1333,0.169752,0.022278,
24.2,0.169956,0.0225524,
24.2667,0.169874,0.022474,
24.3333,0.169693,0.0240101,
24.4,0.169611,0.0211142,
24.4667,0.169454,0.0229521,
24.5333,0.169364,0.0256286,
24.6,0.169364,0.0221487,
24.6667,0.169987,0.027682,
24.7333,0.169752,0.0304604,
24.8,0.169681,0.0854168,
24.8667,0.169823,0.035155,
24.9333,0.16945,0.0305505,
25,0.169388,0.0306994,
25.0667,0.169364,0.0297903,
25.1333,0.16927,0.0227483,
25.2,0.169474,0.0237907,
25.2667,0.169105,0.0280347,
25.3333,0.168804,0.0244451,
25.4,0.169172,0.0200875,
25.4667,0.169192,0.0202285,
25.5333,0.169192,0.0220782,
25.6,0.169956,0.0218117,
25.6667,0.171374,0.0225876,
25.7333,0.172824,0.0283756,
25.8,0.173009,0.0273881,
25.8667,0.1736,0.0285715,
25.9333,0.174909,0.027682,
26,0.176065,0.0324824,
26.0667,0.177644,0.0401122,
26.1333,0.178902,0.0414211,
26.2,0.179686,0.048416,
26.2667,0.180435,0.0477969,
26.3333,0.181849,0.0577426,
26.4,0.182163,0.0550426,
26.4667,0.183048,0.116755,
26.5333,0.183456,0.0593846,
26.6,0.183789,0.0579974,
26.6667,0.184224,0.0633229,
26.7333,0.184784,0.060858,
26.8,0.184961,0.0612969,
26.8667,0.185619,0.059416,
26.9333,0.186313,0.0589104,
27,0.186661,0.060862,
27.0667,0.1875,0.0612734,
27.1333,0.189624,0.0586753,
27.2,0.190933,0.0575428,
27.2667,0.193911,0.0620807,
27.3333,0.19687,0.0646161,
27.4,0.198253,0.0729866,
27.4667,0.20062,0.0738683,
27.5333,0.204476,0.0773951,
27.6,0.206714,0.0804596,
27.6667,0.210707,0.0867492,
27.7333,0.215021,0.0896843,
27.8,0.216867,0.0914242,
27.8667,0.220766,0.099438,
27.9333,0.224105,0.097608,
28,0.220907,0.143884,
28.0667,0.22394,0.137085,
28.1333,0.227385,0.156005,
28.2,0.229407,0.124306,
28.2667,0.234541,0.127998,
28.3333,0.239839,0.128006,
28.4,0.241637,0.132963,
28.4667,0.246007,0.135965,
28.5333,0.249753,0.137454,
28.6,0.250901,0.142536,
28.6667,0.254287,0.14988,
28.7333,0.258202,0.150127,
28.8,0.259479,0.153901,
28.8667,0.263516,0.158693,
28.9333,0.266173,0.167565,
29,0.268073,0.166503,
29.0667,0.27187,0.167828,
29.1333,0.275135,0.167436,
29.2,0.275527,0.175806,
29.2667,0.277878,0.179984,
29.3333,0.280041,0.180184,
29.4,0.280492,0.179596,
29.4667,0.282953,0.182413,
29.5333,0.285057,0.182602,
29.6,0.285841,0.183522,
29.6667,0.285586,0.195674,
29.7333,0.288623,0.210726,
29.8,0.289842,0.226178,
29.8667,0.292534,0.201055,
29.9333,0.294768,0.197097,
30,0.294619,0.19337,
30.0667,0.296049,0.193656,
30.1333,0.29757,0.189424,
30.2,0.297781,0.189734,
30.2667,0.299599,0.192994,
30.3333,0.30168,0.19328,
